"","x"
"BAT",8.50328351374075
"Bitcoin",4.52697768350578
"Dash",6.56802295978322
"Decred",7.51204242311676
"Doge",8.21878837308484
"Ethereum",6.03305639389876
"Litecoin",6.93445461973977
"Monero",7.01002848798773
"Nano",12.6190484053365
"Ripple",8.47255492794527
"Zcash",6.87517238293296
