Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 24, 2019",74.75,75.24,71.36,73.31,"3,347,048,436","4,507,411,996"
"Apr 23, 2019",76.85,79.46,74.64,74.85,"2,920,088,568","4,600,847,627"
"Apr 22, 2019",77.29,77.89,75.7,76.95,"2,657,300,819","4,729,023,682"
"Apr 21, 2019",81.52,81.89,75.02,77.33,"2,957,685,726","4,751,522,317"
"Apr 20, 2019",82.55,82.89,80.28,81.51,"2,422,737,857","5,007,238,091"
"Apr 19, 2019",82.1,83.19,80.43,82.57,"2,608,961,075","5,070,985,398"
"Apr 18, 2019",79.39,83.2,79.31,82.07,"2,616,912,436","5,039,449,526"
"Apr 17, 2019",81.35,82,79.08,79.33,"2,060,101,784","4,869,545,082"
"Apr 16, 2019",79.04,81.84,78.03,81.35,"2,176,907,331","4,992,536,056"
"Apr 15, 2019",83.01,83.85,76.98,79.05,"2,742,760,721","4,850,589,495"
"Apr 14, 2019",78.2,82.94,76.98,82.94,"2,328,308,745","5,087,597,683"
"Apr 13, 2019",78.95,81.1,76.69,78.22,"2,379,257,754","4,797,064,869"
"Apr 12, 2019",79.63,80.27,76.44,78.96,"2,839,796,022","4,841,472,627"
"Apr 11, 2019",88.39,88.52,76.66,79.68,"3,461,536,000","4,884,140,000"
"Apr 10, 2019",86.77,90.35,86.75,88.38,"2,765,900,677","5,416,155,738"
"Apr 09, 2019",89.5,89.5,85.01,86.79,"2,742,631,078","5,317,455,486"
"Apr 08, 2019",92.33,93.82,87.06,89.49,"3,295,695,862","5,482,058,437"
"Apr 07, 2019",92.42,95.39,90.09,92.31,"3,314,848,880","5,653,406,711"
"Apr 06, 2019",88.71,96.74,86.31,92.57,"3,857,950,929","5,667,977,476"
"Apr 05, 2019",85.04,89.58,84.92,88.68,"3,512,861,847","5,428,143,571"
"Apr 04, 2019",85.17,89.34,81.57,84.98,"4,195,622,761","5,200,609,305"
"Apr 03, 2019",76.26,97.5,76.01,84.92,"6,206,102,119","5,195,750,178"
"Apr 02, 2019",60.7,77.41,60.54,76.19,"4,161,362,861","4,660,552,088"
"Apr 01, 2019",60.77,60.99,60.41,60.68,"1,712,538,382","3,710,564,698"
"Mar 31, 2019",60.64,60.85,60.21,60.76,"1,646,531,872","3,714,371,560"
"Mar 30, 2019",61.25,64.11,60.37,60.62,"1,698,116,593","3,705,312,023"
"Mar 29, 2019",61.17,61.53,60.26,61.3,"1,977,436,351","3,745,935,357"
"Mar 28, 2019",62.22,62.22,60.75,61.17,"1,818,355,774","3,737,005,102"
"Mar 27, 2019",59.41,62.29,59.33,62.25,"2,220,590,688","3,802,058,092"
"Mar 26, 2019",59.51,59.65,58.33,59.34,"2,020,400,713","3,623,575,890"
"Mar 25, 2019",60.3,60.93,59,59.5,"2,057,863,894","3,632,066,769"
"Mar 24, 2019",61.24,61.25,59.71,60.22,"2,041,814,465","3,675,521,098"
"Mar 23, 2019",59.79,61.71,59.51,61.35,"2,009,701,790","3,743,278,484"
"Mar 22, 2019",59.3,60.28,58.89,59.82,"1,660,894,830","3,649,353,013"
"Mar 21, 2019",60.87,61.08,58.74,59.38,"1,766,689,848","3,621,232,358"
"Mar 20, 2019",60.68,60.96,58.57,60.85,"1,990,264,182","3,709,898,340"
"Mar 19, 2019",60.22,60.95,59.75,60.62,"1,824,124,623","3,694,945,405"
"Mar 18, 2019",61.28,62.77,59.5,60.26,"1,971,826,811","3,672,726,327"
"Mar 17, 2019",61.88,61.99,60.78,61.24,"1,609,232,029","3,731,425,001"
"Mar 16, 2019",58.99,62.09,58.99,61.84,"1,997,899,601","3,767,063,536"
"Mar 15, 2019",56.54,59.39,56.54,58.99,"1,824,454,595","3,592,290,246"
"Mar 14, 2019",55.86,57.76,55.79,56.58,"1,610,293,200","3,445,001,358"
"Mar 13, 2019",57.08,57.21,55.43,55.93,"1,465,625,295","3,404,536,113"
"Mar 12, 2019",55.41,57.26,53.5,57,"1,666,711,996","3,468,475,222"
"Mar 11, 2019",57.19,57.85,54.83,55.42,"1,839,260,243","3,371,760,953"
"Mar 10, 2019",58.1,58.25,56.59,57.18,"1,778,709,344","3,478,033,205"
"Mar 09, 2019",56,59.29,56,58.09,"2,145,350,395","3,532,242,783"
"Mar 08, 2019",57.44,57.65,55.45,56.1,"1,977,538,387","3,410,590,890"
"Mar 07, 2019",55.84,59,55.08,57.19,"2,410,843,754","3,475,995,867"
"Mar 06, 2019",53.02,56.27,52.28,55.78,"1,998,850,452","3,389,799,196"
"Mar 05, 2019",46.52,54.02,46.14,53.13,"2,000,300,862","3,227,895,751"
"Mar 04, 2019",48.33,48.65,45.85,46.43,"1,243,464,082","2,820,102,325"
"Mar 03, 2019",49.02,49.39,48.09,48.38,"1,102,677,211","2,937,680,218"
"Mar 02, 2019",47.48,49.64,47.46,49.02,"1,227,656,624","2,975,500,410"
"Mar 01, 2019",46.24,48.99,46.15,47.49,"1,175,425,172","2,882,042,603"
