"","x"
"BAT",6.32580931639918
"Bitcoin",3.14705214411159
"Dash",5.08456073352637
"Decred",5.30041048168359
"Doge",5.68635996867625
"Ethereum",4.83405943273582
"Litecoin",4.94019836627895
"Monero",4.80652024185817
"Nano",6.85471554871957
"Ripple",5.07284962978233
"Zcash",4.99165283422204
