"","x"
"BAT",-0.171492960645473
"Bitcoin",0.0731048585360057
"Dash",0.251171139553681
"Decred",0.136576823582691
"Doge",0.0463054533435939
"Ethereum",0.258611742048749
"Litecoin",0.0663122701973862
"Monero",0.255800229993645
"Nano",0.101394646190708
"Ripple",0.14358233771029
"Zcash",0.295269395604669
