"","x"
"BAT",-0.450017739102663
"Bitcoin",-0.297141654292966
"Dash",-0.26116114738221
"Decred",-0.359302018960158
"Doge",-0.557775960121068
"Ethereum",-0.313936778447286
"Litecoin",-0.418281607296924
"Monero",-0.380863856741782
"Nano",-1.33534090589471
"Ripple",-0.631824958716576
"Zcash",-0.222946514873092
